 pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c,image_path
-7.1,-142.7,548.9,0.578,0.221,-0.037,0,0,0.61,0,0,0,0,1.02,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_011.jpg
34.1,-11.7,280.7,0.253,-0.26,0.066,0,0,0.1,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_012.jpg
12.5,-23,798.7,0.116,0.333,-0.054,0,0,1.13,0,0.89,1.45,0,0.6,0,1.47,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_013.jpg
24.5,-1,230.1,0.18,-0.173,0.433,0,0,0.15,0,1,1.21,0,2.12,0.23,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_014.jpg
-103.9,-28.8,460.9,0.288,-0.344,0.204,0,0,0.95,0,1.14,0.02,0,1.16,0,0.76,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_015.jpg
23.8,-36.5,478.7,0.257,0.417,-0.189,0,0,0.43,0,0.58,0,0,1.32,1.44,0.57,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_016.jpg
-3.3,33.9,269.2,0.008,0.037,-0.062,0,0,0.75,0,1.26,0.88,0,3.44,1.27,3.03,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_017.jpg
-2,-16.2,356,0.156,0.112,0.006,0,0,0.55,0,1,0.7,0,1.29,1.85,2.4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_018.jpg
-11.7,33.2,264.8,0.187,-0.007,0.087,0,0,0.35,0,0.42,0.39,0,1,0,1.12,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_019.jpg
-6.3,28.3,207.9,0.171,-0.157,0.024,0,0,0,0,0,0.33,0,0,1.24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_020.jpg
41.4,7.2,263.2,-0.03,0.505,0.113,0,0,0,0,0,0,0,1.61,0.72,0.73,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_021.jpg
22.7,-19.4,370,-0.018,-0.159,-0.084,0,0,0,0,0,0,0,0.72,0.56,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_022.jpg
-0.4,-105.8,391.1,0.629,-0.005,0.074,0,0,1.35,0,0,0,0,0.22,0,1.41,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_023.jpg
-36.9,23,233.3,0.127,-0.331,-0.008,0,0,1.71,0,1.03,1.49,0,1.72,0.04,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_024.jpg
17.1,9.2,345.6,0.203,0.139,-0.138,0,0,1.84,0,0.76,0,0,0.69,0,0.44,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_025.jpg
80.9,-3.2,440.4,0.114,0.298,-0.218,0,0,0.14,0,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_026.jpg
95,2.1,364.4,0.059,0.349,-0.158,0,0,1.21,0,0.97,0,0,1.32,1.1,1.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_027.jpg
58.6,-15.5,279.7,0.147,0.445,-0.109,0,0,3.14,0,0.16,0.56,0,1.9,0,2.38,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_028.jpg
16.9,19.1,255.3,-0.018,-0.186,-0.126,0,0,0.83,0,0,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_029.jpg
-9.8,-27.4,440.2,0.197,0.109,-0.101,0,0,0.64,0,0.51,0,0,1.17,0.22,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_030.jpg
20.3,-16.2,281.2,0.201,0.382,-0.202,0,0,0.67,0,0,0,0,0.86,0.29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_031.jpg
134.3,-13.3,424.7,0.071,-0.085,-0.022,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_032.jpg
-29.5,-45.6,324.6,0.152,-0.032,-0.032,0,0,0.56,0,0.55,0,0,1.08,0.58,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_033.jpg
94.1,19.2,353.1,0.242,0.442,-0.226,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_034.jpg
-59.6,-4.3,427.3,0.13,-0.199,-0.106,0,0,2.81,0,0.51,1.8,0,0.51,0,0.14,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_035.jpg
0.8,19.7,304.2,0.238,-0.185,0.094,0,0,0,0,0,0,0,0.66,1.52,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_036.jpg
83.7,-168.9,672.1,0.093,-0.159,-0.059,0,0,0.5,0,1.02,3.23,0,0.84,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_037.jpg
-144.9,-98.4,735.2,0.173,-0.023,0.119,0,0,0,0,0,1.15,0,0.42,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_038.jpg
-17.9,-43.5,408.3,0.013,0.171,-0.028,0,0,0.31,0,0.08,0.7,0,1.61,0.42,0.72,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_039.jpg
41.6,-100.7,712.7,0.234,0.206,0.006,0,0,0,0,0.76,0.37,0,0.55,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_040.jpg
0.1,-67.6,504.6,-0.077,-0.173,0.047,0,0,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_041.jpg
249.9,-204.3,804.1,0.418,0.483,-0.279,0,0,0.5,0,0.09,0.26,0,0.52,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_042.jpg
32.2,-81.4,442.6,0.413,0.253,0.085,0,0,0.04,0,1.2,1.14,0,1.2,0.25,1.24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_043.jpg
27.9,-10.9,176.9,-0.228,-0.015,-0.067,0,0,0,0,1.27,1.7,0,1.01,1.62,0.9,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_044.jpg
-5.9,5.6,232,-0.063,-0.032,-0.001,0,0,0.4,0,3.42,2.79,0,2.73,0.9,2.18,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_045.jpg
99.5,32,320.7,0.079,0.61,-0.094,0,0,0.24,0,0.81,0,0,2.29,0.67,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_046.jpg
-0.4,-157.7,556.3,0.405,0.108,0.01,0,0,0.6,0,1.27,0,0,0.41,1.42,1.37,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_047.jpg
-40.4,-37.8,625.4,0.175,0.059,0.022,0,0,2.82,0,2.15,4.41,0,2.81,0.98,2.57,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_048.jpg
14.7,-21.2,331.1,0.23,-0.658,0.001,0,0,0.67,0,0.42,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_049.jpg
9.5,32.9,362,-0.105,0.119,0.006,0,0,1.93,0,1.06,1.58,0,1.21,0.03,2.09,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_050.jpg
-33.9,24.6,226.5,-0.024,0.169,0.202,0,0,0.06,0,0.94,1.6,0,2.42,0.09,1.72,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_051.jpg
-4.3,-5.1,185.7,0.201,0.049,-0.06,0,0,0.69,0,1.92,2.1,0,2,1.35,0.24,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_052.jpg
28.4,6.9,285.9,0.066,0.521,0.03,0,0,2.16,0,2.13,1.49,0,2.5,2.03,2.67,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_053.jpg
-3.7,-18.7,315.9,-0.157,0.078,0.08,0,0,3.39,0,3.97,3.29,0,1.66,3.24,1.05,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_054.jpg
13.5,29.4,278.3,-0.042,-0.134,-0.497,0,0,0,0,2.12,0,0,2.28,2.89,2.65,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_055.jpg
-91,-101.5,456.2,0.322,-0.307,0.158,0,0,2.05,0,0,0,0,0,0,0.61,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_056.jpg
3.7,-12.5,255.4,-0.178,-0.003,-0.059,0,0,0,0,0,0.05,0,0,0,1.54,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_057.jpg
11.3,-3.8,224,-0.086,-0.131,0.595,0,0,0,0,2.64,1.82,0,2.52,3.09,1.43,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_058.jpg
-28,31.4,316.6,0.228,0.404,-0.155,0,0,0,0,0,0,0,1.1,0.81,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_059.jpg
1.3,41.4,292.7,-0.068,-0.369,0.016,0,0,0,0,0.09,0.43,0,1.75,0.37,1.33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_060.jpg
133,-137.9,767.8,0.336,0.017,-0.021,0,0,0.08,0,0.35,0.64,0,0.4,2.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_061.jpg
133,-137.9,767.8,0.336,0.017,-0.021,0,0,0.08,0,0.35,0.64,0,0.4,2.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_062.jpg
-8.1,13.4,293.7,0.091,0.262,-0.414,0,0,0.73,0,0,0,0,0.1,0.79,1.17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_063.jpg
-273.5,-276.5,938.1,0.021,-0.6,-0.017,0,0,0,0,0.23,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_064.jpg
-7.7,-79.4,429.3,0.19,0.013,0.054,0,0,1.72,0,0,0.82,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_065.jpg
-7.1,-39.8,451.8,0.361,0.096,-0.086,0,0,0,0,0,0.37,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_066.jpg
31.8,-6,261.6,0.018,-0.314,-0.034,0,0,0,0,0.05,1.14,0,2.76,0.18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_067.jpg
-7.5,20.9,307.4,-0.189,0.006,-0.063,0,0,0,0,0.33,0,0,2.56,1.81,2.43,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_068.jpg
-16,-21.8,338.1,0.26,0.203,-0.134,0,0,0,0,0,0,0,0,0.43,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_069.jpg
22.3,-8,672.3,0.385,0.095,0.045,0,0,2.82,0,0.1,0.77,0,0.61,0.12,1.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_070.jpg
-77.9,-9.2,275.4,0.337,-0.032,0.023,0,0,0.29,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_071.jpg
-17271196,-20449576,34794764,-0.512,0.325,0.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_072.jpg
41,30.2,260.9,0.132,-0.323,0.099,0,0,0,0,0,0.9,0,0.88,0,0.55,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_073.jpg
151,-92.4,638.7,0.279,0.142,-0.061,0,0,0.02,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_074.jpg
2.4,3.8,313.7,0.177,0.204,-0.022,0,0,1.55,0,0.12,0.7,0,1.54,0,0.55,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_075.jpg
58.2,32.5,273.2,-0.295,0.167,-0.016,0,0,0,0,0.89,0.54,0,2.87,1.8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_076.jpg
-20691090,-27851298,45176684,-0.592,0.296,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_077.jpg
-84.2,34.2,248.3,-0.046,-0.097,0.016,0,0,0.93,0,0.68,0,0,1.8,0,1.76,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_078.jpg
-84.2,34.2,248.3,-0.046,-0.097,0.016,0,0,0.93,0,0.68,0,0,1.8,0,1.76,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_079.jpg
15.2,-8.1,295.6,0.115,-0.051,-0.221,0,0,0,0,0,0,0,0.3,1.94,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_080.jpg
21.5,-190.9,887.7,0.272,0.137,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_081.jpg
17.9,-72.4,359.9,-0.133,-0.16,0.097,0,0,0,0,0.38,2,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_082.jpg
-22666612,-22666612,41319348,-0.517,0.358,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_083.jpg
-34.9,-28.1,491.5,-0.097,-0.091,-0.073,0,0,0,0,0.32,0,0,0.32,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_084.jpg
-29.4,-218.7,770.9,0.357,-0.019,0.035,0,0,0,0,1.65,0.8,0,1.83,2.22,2.11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_085.jpg
31.1,-18,351.9,-0.037,-0.27,-0.043,0,0,0,0,2.09,1.88,0,2.84,1.17,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_086.jpg
100.8,-83.5,558.9,0.299,0.723,-0.012,0,0,0.94,0,0.85,0.54,0,2.58,0.68,0.17,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,/data/deep/Alan/FacialEncodingDataset-OpenFace/300W-Processed/01_Indoor/indoor_087.jpg
